Actor;Movies
Lee Tergesen;Shaft|Monster|Point Break
Charles Bickford;The Farmer's Daughter|Of Mice and Men|Days of Wine and Roses|The Song of Bernadette
Barnard Hughes;Sister Act 2: Back in the Habit|Tron
Bill Irwin;Popeye|Hot Shots!|My Blue Heaven
Shahrukh Khan;Dilwale Dulhaniy Le Jayenge|Asoka|Khabi Khushi Kabhi Gham
Michelle Rodriguez;Resident Evil|S.W.A.T.|The Fast and the Furious
Steven Weber;The Shining|Dracula: Dead and Loving It
Terry;The Wizard of Oz|Bright Eyes
Jim Brown;Ice Station Zebra|...tick...tick...tick...|I'm Gonna Git You Sucka
Buck Henry;Heaven Can Wait|Candy
Ed Gilbert;Tom and Jerry: The Movie|Tom and Jerry: The Movie
Miriam Flynn;Vacation|Babe|National Lampoon's Christmas Vacation
Peter Cook;Bedazzled|The Princess Bride
Adriana Caselotti;The Wizard of Oz|Snow White and the Seven Dwarfs
John Mahoney;The American President|The Broken Hearts Club: A Romantic Comedy|Primal Fear|Atlantis: Milo's Return|Atlantis: The Lost Empire|Frantic
Nick Nolte;The Thin Red Line|Afterglow|Affliction|Hulk|Lorenzo's Oil|Cape Fear|Clean
Ian Carmichael;I'm All Right Jack|Private's Progress
Gilda Radner;The Rutles|Mr. Mike's Mondo Video
Elizabeth Pei±a;Rush Hour|Jacob's Ladder|Lone Star
Kathleen Robertson;Nowhere|Dog Park
Katharine Isabelle;Ginger Snaps|Ginger Snaps 2: Unleashed
Ted McGinley;Revenge of the Nerds III: The Next Generation|Wayne's World 2
Whoopi Goldberg;It's a Very Merry Muppet Christmas Movie|Star Trek Nemesis|Sister Act 2: Back in the Habit|An Alan Smithee Film: Burn Hollywood Burn|Ghost|Rat Race
Tony Cox;Friday|Me, Myself & Irene|Willow|Caravan of Courage: An Ewok Adventure
Nina Siemaszko;The American President|Tucker: The Man and His Dream
Frankie Avalon;Grease|The Alamo
Dov Tiefenbach;Flower & Garnet|Cheaters|Get Over It
Tom Atkins;John Carpenter's The Fog|Halloween III: Season of the Witch
Natalie Portman;Star Wars Episode II: Attack of the Clones|Closer|Cold Mountain|Where the Heart Is|Star Wars Episode III: Revenge of the Sith|Anywhere But Here|Leon|Heat|Star Wars Episode I: The Phantom Menace|Garden State
Jay Tavare;Street Fighter|Adaptation
Michael Gambon;Sleepy Hollow|Toys|Harry Potter and the Half-Blood Prince|Harry Potter and the Goblet of Fire|Layer Cake|Harry Potter and the Order of the Phoenix|The Insider|Sylvia|Harry Potter and the Prisoner of Azkaban
Lois Chiles;Austin Powers: International Man of Mystery|Curdled|Broadcast News
Elizabeth Hurley;Austin Powers: International Man of Mystery|Bedazzled
Jayne Meadows;Alice in Wonderland|The Luck of the Irish
Romola Garai;Vanity Fair|Dirty Dancing
Melissa George;Sugar & Spice|Mulholland Drive
Robert Forster;Jackie Brown|Mulholland Drive|Me, Myself & Irene
Gustav Diessl;Das Testament des Dr. Mabuse|Kolberg
Brenda Blethyn;Beyond the Sea|Secrets & Lies|Pooh's Heffalump Movie
Glenn Shadix;Demolition Man|Chairman of the Board
Susan Clark;Porky's|Colossus: The Forbin Project
Hiroshi Abe;Godzilla 2000: Millennium|Godzilla 2000: Millennium
Daniel Stern;Diner|C.H.U.D.|My Blue Heaven|Born in East L.A.|Home Alone 2: Lost in New York
Brandon Lee;The Crow|Rapid Fire
Patrick Dempsey;Outbreak|The Emperor's Club|Sweet Home Alabama
Robert Redford;Sneakers|Out of Africa
David Morse;The Rock|The Rock|Double Vision|The Green Mile|The Good Son|Contact
Alfonso Arau;Walker|Â¡Three Amigos!
Makenzie Vega;Sin City|Saw
Daniel Craig;The Mother|Lara Croft: Tomb Raider|The Golden Compass|Layer Cake|Casino Royale|Elizabeth|Sylvia|A Kid in King Arthur's Court
Mare Winningham;Miracle Mile|St. Elmo's Fire|Georgia
Peter Facinelli;The Big Kahuna|Can't Hardly Wait|Foxfire
Mary Astor;The Hurricane|Holiday
Charles Laughton;Sabotage|Dead Men Don't Wear Plaid|The Hunchback of Notre Dame|Les Miserables|Spartacus
Kate Hudson;Dr. T & the Women|Alex & Emma
Catherine Kellner;Six Degrees of Separation|Pearl Harbor
Douglas Rain;2001: A Space Odyssey|2010: The Year We Make Contact|Sleeper
Kristy Swanson;Buffy the Vampire Slayer|Dude, Where's My Car?|Big Daddy
Eva Marie Saint;Exodus|The Russians Are Coming, the Russians Are Coming|Grand Prix
Anthony Michael Hall;Vacation|Weird Science|61*
Jeremy Northam;Enigma|Possession|Mimic|Amistad|The Singing Detective|The Net
Irene Miracle;Midnight Express|Puppet Master
Eva Green;Kingdom of Heaven|The Golden Compass|Casino Royale
Olympia Dukakis;The Librarian|The Rehearsal|Look Who's Talking|Mr. Holland's Opus
Mel Brooks;Dracula: Dead and Loving It|Robots|Robin Hood: Men in Tights
David Spade;Black Sheep|The Emperor's New Groove|PCU
Hiromi Tsuru;Dead Zone|Rebirth of Fusion!! Goku and Vegeta!!|Burn Up!! A Close, Intense, Super-Fierce Battle
Mark Margolis;Pi|Ace Ventura: Pet Detective|Scarface
John Noble;The Lord of the Rings: The Two Towers|The Lord of the Rings: The Return of the King
Rene Russo;Outbreak|Major League|Ransom
Norma Shearer;Marie Antoinette|Smilin' Through|Idiot's Delight|Romeo and Juliet
Ann Richards;Sorry, Wrong Number|Love Letters
Lois Maxwell;Lolita|The Haunting
Robert Ryan;Crossfire|Inferno|The Set-Up|The Professionals|King of Kings|Battle of the Bulge
Fred Ward;Circus|10.5|The Crow: Salvation|Chain Reaction|Tremors|Sweet Home Alabama|Remo Williams: The Adventure Begins|Road Trip
Thora Birch;Ghost World|American Beauty|The Hole|Silver City|Dungeons & Dragons
Patricia Arquette;Ed Wood|Human Nature|Little Nicky|Stigmata
Charlton Heston;El Cid|Ben-Hur|Planet of the Apes|Diamond Head|Hamlet|Earthquake|The Order|The Ten Commandments|Planet of the Apes|Midway
Marjorie Weaver;Young Mr. Lincoln|Young Mr. Lincoln
Snitz Edwards;The Phantom of the Opera|The Thief of Bagdad
Sam Shepard;Resurrection|Country|Hamlet
Jerry Orbach;Beauty and the Beast: The Enchanted Christmas|Exiled: A Law & Order Movie|F/X|Beauty and the Beast
Brenda Fricker;My Left Foot|Home Alone 2: Lost in New York|Veronica Guerin
Joan Cusack;Broadcast News|Where the Heart Is|It's a Very Merry Muppet Christmas Movie|Looney Tunes: Back in Action|Chicken Little|In & Out|Toys|My Blue Heaven|Hero
Humphrey Bogart;Beat the Devil|Sabrina|Key Largo|The Caine Mutiny|Casablanca|Dead Men Don't Wear Plaid|Sahara
Arthur Kennedy;Peyton Place|Trial
Sandra Oh;Under the Tuscan Sun|The Princess Diaries
Simon Ward;Hitler: The Last Ten Days|If...|Aces High
Adewale Akinnuoye-Agbaje;Congo|Ace Ventura: When Nature Calls|The Bourne Identity
Aaron Schwartz;Heavy Weights|Heavy Weights
Reginald Owen;A Christmas Carol|The Letter
Sandra Ng;All's Well, Ends Well Too|All's Well, Ends Well
Laura Harrington;What's Eating Gilbert Grape|The Devil's Advocate
Hiroshi Koizumi;Ghidorah, the Three-Headed Monster|Ghidorah, the Three-Headed Monster
Jamie Lee Curtis;Forever Young|John Carpenter's The Fog|Halloween III: Season of the Witch|Halloween|My Girl
Rip Taylor;Tom and Jerry: The Movie|DuckTales the Movie: Treasure of the Lost Lamp
Gene Hackman;Twilight|Superman|Enemy of the State|The Replacements|Superman IV: The Quest For Peace|Class Action|The Poseidon Adventure|Bonnie and Clyde|Behind Enemy Lines|Bat*21|Crimson Tide|The French Connection|Heist|The Firm|No Way Out
Larry Grey;Alice in Wonderland|Cinderella
Geraldine Fitzgerald;Arthur|Wilson
Judith Anderson;Rebecca|Laura
Brady Corbet;Thirteen|Thunderbirds
John Astin;Gremlins 2: The New Batch|Candy
Hank Azaria;Anastasia|Godzilla|America's Sweethearts|Nobody's Perfect|Heat|Uprising|Eulogy
Charles Herbert;Gunfight at the O.K. Corral|The Fly
Jonathan Hyde;Titanic|The Mummy|Anaconda
Bruce Spence;Ace Ventura: When Nature Calls|The Lord of the Rings: The Return of the King|Mad Max 2: The Road Warrior
Jimmy Fallon;Taxi|Fever Pitch
Stan Lee;Hulk|Spider-Man|Daredevil
Cliff DeYoung;Glory|F/X
Mary McCormack;The Broken Hearts Club: A Romantic Comedy|Full Frontal|Deep Impact
Margaret Rutherford;Miranda|I'm All Right Jack
Isabelle Adjani;Ishtar|Camille Claudel
Liam Neeson;The Mission|K-19: The Widowmaker|Schindler's List|Kinsey|Star Wars Episode I: The Phantom Menace|The Haunting|Kingdom of Heaven|Rob Roy|Michael Collins|Excalibur
Mitchell Lewis;Salome|Salome
Robert Downey Jr.;Restoration|Weird Science|Air America|1969|Richard III|Chaplin|The Singing Detective|Black and White
Bill Fagerbakke;Lady and the Tramp II: Scamp's Adventure|Dumb & Dumber|Atlantis: Milo's Return
Maynard Eziashi;Ace Ventura: When Nature Calls|Ace Ventura: When Nature Calls
Marcello Mastroianni;The Stranger|8Â½
Natasha Lyonne;Detroit Rock City|Blade: Trinity|Kate & Leopold|But I'm a Cheerleader
Ford Rainey;Perfect Strangers|The Sand Pebbles
Lewis Stone;Romance|The Big House|Grand Hotel
Akira Takarada;Godzilla: Final Wars|Godzilla|Godzilla vs. the Sea Monster
Billy Crystal;Mr. Saturday Night|Fathers' Day|Rabbit Test|America's Sweethearts|Hamlet|The Princess Bride
Kevin Ian Pardue;Thirteen|The Rules of Attraction
Cybill Shepherd;Once Upon a Crime...|The Heartbreak Kid
Edna May Oliver;A Tale of Two Cities|Personal History, Adventures, Experience, and Observation of David Copperfield the Younger|Alice in Wonderland
Julie Cox;Dune|Children of Dune
Brad Pitt;The Devil's Own|Sinbad: Legend of the Seven Seas|Snatch|Sleepers|Troy|Ocean's Twelve|Fight Club
Billy Crudup;Sleepers|Monument Ave.
Penelope Ann Miller;Chaplin|The Gun in Betty Lou's Handbag|Carlito's Way
Donna Reed;It's a Wonderful Life|Backlash
Fernando Rey;Monsignor|The French Connection|Quintet
Corey Carrier;The Adventures of Pinocchio|My Blue Heaven
Josephine Hull;Harvey|Arsenic and Old Lace
Jack Black;Bongwater|Orange County|Enemy of the State|King Kong|Ice Age|High Fidelity|Anchorman: The Legend of Ron Burgundy|Demolition Man
Laurence Naismith;Scrooge|Richard III
David Duchovny;Evolution|The X Files|Full Frontal
Michael Biehn;The Rock|Aliens|Tombstone
Jason Robards;Tora! Tora! Tora!|Julia|Philadelphia|Magnolia|Square Dance
Dominique Blanc;Total Eclipse|Indochine
Sela Ward;54|Dirty Dancing
Charles Hallahan;John Carpenter's The Thing|Dante's Peak
Boris Karloff;The General|Frankenstein|Black Sabbath|The Raven|The Mummy|The Last of the Mohicans|Scarface
John Belushi;1941|Continental Divide|National Lampoon's Animal House|The Rutles
Ludivine Sagnier;Swimming Pool|Peter Pan
Henry B. Walthall;Wings|Ramona|London After Midnight
Steven Waddington;The Last of the Mohicans|Edward II|Edward II
Alan Arkin;North|The Last Unicorn|Jerky Boys: The Movie|Que i Isso, Companheiro?|The Russians Are Coming, the Russians Are Coming
Gerard McSorley;Omagh|Veronica Guerin
Anton Walbrook;Oh... Rosalinda!!|The Red Shoes
Spike Lee;Mo' Better Blues|She's Gotta Have It|Malcolm X
Marley Shelton;Sin City|Sugar & Spice
Paul Winfield;Presumed Innocent|Cliffhanger|Star Trek II: The Wrath of Khan
Gerard Butler;Timeline|Reign of Fire|The Phantom of the Opera|Lara Croft Tomb Raider: The Cradle of Life
Pinto Colvig;Snow White and the Seven Dwarfs|Donald's Cousin Gus
Bernard Lee;Dunkirk|Beat the Devil|Gallipoli
Peter Gallagher;sex, lies and videotape|American Beauty|House on Haunted Hill|Mrs. Parker and the Vicious Circle
Polly Walker;John Carter of Mars|Restoration
Bart the Bear;The Clan of the Cave Bear|The Edge|White Fang
Ryan Phillippe;Antitrust|54|Nowhere
Diane Kruger;Troy|National Treasure|Wicker Park
Donald Sinden;Balto|The Cruel Sea
Tim Matheson;National Lampoon's Animal House|Black Sheep|1941
Masayuki Mori;Hakuchi|Rashomon|Rashomon|Hakuchi
Theresa Randle;Malcolm X|Spawn|Bad Boys
Dick Van Dyke;Mary Poppins|Dick Tracy
Lacey Chabert;Lost in Space|Rugrats Go Wild!
Susannah York;They Shoot Horses, Don't They?|Superman|Visitors|Tom Jones|Battle of Britain|Oh! What a Lovely War|Happy Birthday, Wanda June
Dermot Mulroney;Bad Girls|My Best Friend's Wedding|Point of No Return
Jonathan Silverman;Weekend at Bernie's|Weekend at Bernie's II
Katie Holmes;Go|Phone Booth|Teaching Mrs. Tingle|First Daughter|The Singing Detective|The Gift
Steve Guttenberg;Cocoon|Police Academy|Diner|Cocoon: The Return|The Boys from Brazil|Short Circuit|Police Academy 2: Their First Assignment|P.S. Your Cat Is Dead
Arata;After Life|Distance
W. C. Fields;It's a Gift|Personal History, Adventures, Experience, and Observation of David Copperfield the Younger|Alice in Wonderland
Enid Bennett;Robin Hood|Robin Hood
Carrie Fisher;Star Wars Episode IV: A New Hope|Star Wars Episode VI: Return of the Jedi|Shampoo|Star Wars Episode V: The Empire Strikes Back|The 'Burbs
Paul Williams;The Doors|The Rules of Attraction
Scott Speedman;Underworld: Evolution|Underworld
Jerry Lewis;Mr. Saturday Night|The King of Comedy
Kelly Hu;The Librarian|X2
Tahnee Welch;Cocoon: The Return|Cocoon
Harvey Korman;Dracula: Dead and Loving It|The Flintstones
Thomas Haden Church;Tales from the Crypt presents: Demon Knight|Spanglish|John Carter of Mars
Robert Costanzo;Batman: Mask of the Phantasm|Batman: Mystery of the Batwoman
Frank Oz;Star Wars Episode III: Revenge of the Sith|Star Wars Episode II: Attack of the Clones|Star Wars Episode V: The Empire Strikes Back|Star Wars Episode VI: Return of the Jedi|Star Wars Episode I: The Phantom Menace
Laura Harring;Willard|Rabbits|Mulholland Drive
Glenn Plummer;Strange Days|Speed|Speed 2: Cruise Control
George Cole;Blue Murder at St Trinian's|The Pure Hell of St Trinian's|The Great St Trinian's Train Robbery|The Belles of St Trinian's
Herbert Marshall;The Fly|Foreign Correspondent|The Letter|The Letter
Rachel Griffiths;My Best Friend's Wedding|Blow|Jude|Muriel's Wedding
Robert Picardo;Gremlins 2: The New Batch|Star Trek: First Contact
Alessandro Nivola;Love's Labour's Lost|Laurel Canyon
Ralph Fiennes;The Avengers|Strange Days|Harry Potter and the Goblet of Fire|The English Patient|Spider|Harry Potter and the Order of the Phoenix|Schindler's List|Red Dragon
Liv Tyler;That Thing You Do!|The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|Armageddon|Dr. T & the Women|Jersey Girl|Heavy|The Lord of the Rings: The Two Towers
Paul Perri;Manhunter|Demolition Man|The Insider|Freeway|The Funeral
Frank McHugh;Dodge City|Dodge City
Alfred Hitchcock;The Birds|Psycho|Vertigo|Spellbound
Virginia Grey;Madame X|Saps at Sea|Hullabaloo
Jean Reno;Ronin|Rollerball|Mission: Impossible|Godzilla|Leon|French Kiss|Wasabi
Ellen Pompeo;Nobody's Perfect|Daredevil|Old School
Courtney Gains;Sweet Home Alabama|The 'Burbs
Da Brat;Carmen: A Hip Hopera|Glitter
Jared Padalecki;Cheaper by the Dozen|New York Minute
Julie Christie;Don't Look Now|McCabe & Mrs. Miller|Shampoo|Afterglow|Heaven Can Wait|Troy|Darling|Hamlet
Alan Rickman;Truly, Madly, Deeply|The Hitchhiker's Guide to the Galaxy|Harry Potter and the Half-Blood Prince|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Sense and Sensibility|Dogma|Harry Potter and the Order of the Phoenix|Michael Collins|Robin Hood: Prince of Thieves|Harry Potter and the Philosopher's Stone|Harry Potter and the Prisoner of Azkaban
Hayden Christensen;Star Wars Episode III: Revenge of the Sith|Star Wars Episode II: Attack of the Clones|Star Wars Episode VI: Return of the Jedi
Kenneth Branagh;Henry V|Harry Potter and the Chamber of Secrets|Mary Shelley's Frankenstein|Celebrity|How to Kill Your Neighbor's Dog|Love's Labour's Lost|Conspiracy|Swing Kids|Hamlet|Rabbit-Proof Fence|Peter's Friends
Charles Grapewin;The Wizard of Oz|The Good Earth
Beth Grant;Child's Play 2|Speed
Mark Moses;Platoon|Deep Impact
Jeanne Tripplehorn;The Firm|Monument Ave.|Swept Away
Bill Cobbs;Fluke|Demolition Man
Gina Ravera;The Temptations|Soul Food
Mackenzie Fitzgerald;Dr. T & the Women|Where the Heart Is
Alan Dale;Star Trek Nemesis|Don't Knock the Rock
Dan Shor;Bill & Ted's Excellent Adventure|Tron
Tim Robbins;Anchorman: The Legend of Ron Burgundy|Mystic River|Top Gun|Jacob's Ladder|Antitrust|Human Nature|War of the Worlds
Akihiko Hirata;Godzilla|Godzilla vs. the Sea Monster|Godzilla|Godzilla vs. the Sea Monster
Bill Cosby;Jack|Fat Albert
Marguerite De La Motte;The Three Musketeers|The Mark of Zorro
Gaby Hoffmann;Volcano|Black and White
Gene LeBell;Rat Race|Dead Men Don't Wear Plaid|Rat Race
John Gielgud;The Elephant Man|Caligula|Richard III|Arthur|Oh! What a Lovely War|Hamlet|Elizabeth|Merlin|Lost Horizon
John Williams;Will Success Spoil Rock Hunter?|To Catch a Thief
Frances O'Connor;Bedazzled|Timeline|A.I.
Mimi Rogers;Lost in Space|Austin Powers: International Man of Mystery
Kevin Conway;F.I.S.T|Gettysburg
J. K. Simmons;Spider-Man|The Gift
Frances Sternhagen;Starting Over|Outland
Danny DeVito;Car Wash|The War of the Roses|Austin Powers: Goldmember|Matilda|The Big Kahuna|Hercules|The Rainmaker|Heist|What's the Worst That Could Happen?|Junior|Twins
Bing Crosby;That's Entertainment!|Holiday Inn|The Bells of St. Mary's
Tatsuya Fujiwara;Battle Royale|Batoru rowaiaru II: Chinkonka
Dakota Fanning;Man on Fire|Sweet Home Alabama|Hide and Seek|War of the Worlds
Erick Avari;The Mummy|The Beast
Malcolm McDowell;Caligula|Aces High|Delgo|Cat People|Time After Time|If...|O Lucky Man!
Ulrich Thomsen;Mostly Martha|Max|Blueprint
Viggo Mortensen;Hidalgo|The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|Daylight|Carlito's Way|The Lord of the Rings: The Two Towers|Witness
Timothy Dalton;Mary, Queen of Scots|Hawks|Looney Tunes: Back in Action
Clifton Webb;Three Coins in the Fountain|Titanic|Laura
Alexa Vega;Spy Kids 2: Island Of Lost Dreams|Sleepover
Edward Arnold;Idiot's Delight|Dead Men Don't Wear Plaid|Come and Get It
Joe Grifasi;Heavy|61*
Katie Leung;Harry Potter and the Half-Blood Prince|Harry Potter and the Order of the Phoenix|Harry Potter and the Goblet of Fire
Paul Frees;The Thing|Mr. Magoo's Christmas Carol
Sam Waterston;Exiled: A Law & Order Movie|Heaven's Gate|Hopscotch|The Killing Fields
Matt Clark;Country|Country
George Hamilton;Once Upon a Crime...|The Godfather Part III
Jonathan Winters;The Russians Are Coming, the Russians Are Coming|It's a Mad, Mad, Mad, Mad World
Edward Speleers;Hamlet|Eragon
Christopher Lambert;Beowulf|Greystoke - The Legend of Tarzan, Lord of the Apes|Nirvana|Mortal Kombat
Tito Larriva;Road House|True Stories|Desperado|True Stories
Patti Yasutake;Star Trek: First Contact|Star Trek: Generations
Michael Dolan;Scrooge|Scrooge
Susan Egan;Lady and the Tramp II: Scamp's Adventure|Hercules
David Clennon;John Carpenter's The Thing|Missing|Sweet Dreams
Elizabeth Daily;Rugrats in Paris: The Movie|Rugrats Go Wild!|Pee-wee's Big Adventure|Babe: Pig in the City|Ladies and Gentlemen, The Fabulous Stains
Ian Ogilvy;Waterloo|Witchfinder General
Farida Jalal;Dilwale Dulhaniy Le Jayenge|Khabi Khushi Kabhi Gham
Jennie Linden;Women in Love|Dr. Who and the Daleks
Albert Brooks;Twilight Zone: The Movie|Real Life|Broadcast News
Christine Baranski;Chicago|The Guru
Robert Wagner;Dragon: The Bruce Lee Story|Austin Powers: Goldmember|Austin Powers: International Man of Mystery|Titanic|Midway|Austin Powers:The Spy Who Shagged Me
